level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display
1급,113,2026-05-23,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,상처가 난 다리에 繃帶를 감았다.,繃帶,,붕대,붕대
1급,113,2026-05-23,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,봄에 농부들은 撒種 준비로 분주했다.,撒種,,살종,살종
1급,113,2026-05-23,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,동네 사람들이 파 놓은 陷穽에 멧돼지가 잡혔다.,陷穽,,함정,함정
1급,113,2026-05-23,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,이순신의 활약으로 인해 그 지역의 왜군들이 殲滅되었다.,殲滅,,섬멸,섬멸
1급,113,2026-05-23,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,분단으로 헤어졌던 형제가 50년 만에 邂逅하였다.,邂逅,,해후,해후
1급,113,2026-05-23,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그는 犧牲 번트를 쳐서 1루에 있던 주자를 2루로 보냈다.,犧牲,,희생,희생
1급,113,2026-05-23,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,열차 顚覆 사고로 인해 열차 통행이 지연되었다.,顚覆,,전복,전복
1급,113,2026-05-23,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그녀는 너무 놀라서 들고 있던 銀盤을 바닥에 떨어뜨렸다.,銀盤,,은반,은반
1급,113,2026-05-23,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,상대 팀의 강타자가 만루 홈런을 치자 관중들은 揶揄를 보냈다.,揶揄,,야유,야유
1급,113,2026-05-23,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,관광객들의 輻輳로 국립 공원의 자연이 훼손되었다.,輻輳,,복주,복주
1급,113,2026-05-23,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,민지는 휴가를 얻어 오랜만에 여유를 滿喫했다.,滿喫,,만끽,만끽
