level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display
4급II,113,2026-05-23,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,서동요는 삼국유사에 전해지는 신라시대 鄉歌이다.,鄉歌,,향가,향가
4급II,113,2026-05-23,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,우리는 분명 初面이었지만 서로 어디선가 낯이 익었다.,初面,,초면,초면
4급II,113,2026-05-23,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,적들이 우리의 기습 공격에 당하여 敗退했다.,敗退,,패퇴,패퇴
4급II,113,2026-05-23,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,최근 유행하는 독감으로 인해 병원에 환자가 急增하고 있다.,急增,,급증,급증
4급II,113,2026-05-23,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,정부의 입장에 반대하는 勢力이 점차 커지고 있다.,勢力,,세력,세력
4급II,113,2026-05-23,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,새로운 도로가 개통되자 화물의 運送이 더욱 편리해졌다.,運送,,운송,운송
4급II,113,2026-05-23,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,시험을 시작하기에 앞서 呼吸을 가다듬었다.,呼吸,,호흡,호흡
4급II,113,2026-05-23,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,증권 투자를 통한 收益이 제법 크다.,收益,,수익,수익
4급II,113,2026-05-23,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,과거에 비해 국민의 肉類 소비가 늘었다.,肉類,,육류,육류
4급II,113,2026-05-23,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,公職에 몸을 담고 있는 사람이라면 청렴함을 갖춰야 한다.,公職,,공직,공직
4급II,113,2026-05-23,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,철민이는 스스로 満足할 때까지 연습을 멈추지 않았다.,満足,,만족,만족
4급II,113,2026-05-23,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,이번 박람회에서는 다양한 體驗을 즐길 수 있다.,體驗,,체험,체험
4급II,113,2026-05-23,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,재희는 이번 학기 장학금 受惠 대상으로 선정되었다.,受惠,,수혜,수혜
4급II,113,2026-05-23,14,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,이 문을 열기 위해서는 暗號를 입력해야 한다.,暗號,,암호,암호
4급II,113,2026-05-23,15,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그는 허위 사실을 流布한 죄로 처벌받았다.,流布,,유포,유포
4급II,113,2026-05-23,16,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,박 교수님의 수업은 신입생이라면 必修로 들어야 한다.,必修,,필수,필수
4급II,113,2026-05-23,17,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,선원은 바다에 표류된 極限의 상황에서도 생존하였다.,極限,,극한,극한
4급II,113,2026-05-23,18,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,겨우 이 정도로 生色을 내는 꼴이 우습다.,生色,,생색,생색
4급II,113,2026-05-23,19,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,삼촌네 가게는 손님이 많아서 深夜에도 영업을 한다.,深夜,,심야,심야
4급II,113,2026-05-23,20,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,나는 겨울이 되면 氷壁을 등반하러 평창에 간다.,氷壁,,빙벽,빙벽
4급II,113,2026-05-23,21,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,우리 군은 전쟁에서 이기기 위해 새로운 武器를 개발하였다.,武器,,무기,무기
4급II,113,2026-05-23,22,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,獨立군은 이곳을 임시 거처로 삼았다.,獨立,,독립,독립
4급II,113,2026-05-23,23,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,배우는 수상의 榮光을 함께한 동료들에게 돌렸다.,榮光,,영광,영광
4급II,113,2026-05-23,24,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,낙화암에는 삼천宮女가 떨어졌다는 전설이 남아있다.,宮女,,궁녀,궁녀
4급II,113,2026-05-23,25,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,새로운 기술의 발전 덕분에 탄소 발생을 減少시킬 수 있었다.,減少,,감소,감소
4급II,113,2026-05-23,26,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,어제 축구를 하다가 발목을 삐어서 步行이 어렵다.,步行,,보행,보행
4급II,113,2026-05-23,27,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,몇몇 식물들은 식용으로 쓰기 위해 毒素를 잘 제거해야 한다.,毒素,,독소,독소
4급II,113,2026-05-23,28,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,나는 고민 끝에 치아 보험 계약을 取消하였다.,取消,,취소,취소
4급II,113,2026-05-23,29,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,어머니께서는 아들의 어린 시절을 回想하셨다.,回想,,회상,회상
4급II,113,2026-05-23,30,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,정상을 향해 한 걸음 더 前進하였다.,前進,,전진,전진
4급II,113,2026-05-23,31,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,새로운 컴퓨터를 구매하는 것에 대해 아버지의 承認을 받았다.,承認,,승인,승인
4급II,113,2026-05-23,32,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,어제 나는 치과에 가서 齒石을 제거했다.,齒石,,치석,치석
