level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display,image_path
6급II,80,2018-02-24,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그는 한참 만에 電話를 받았습 니다.,電話,,전화,전화,
6급II,80,2018-02-24,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,우리나라 자연의 아름다움은 世界 적으로 유명합니다.,世界,,세계,세계,
6급II,80,2018-02-24,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,할아버지는 書堂에서 천자문을 배웠습니다.,書堂,,서당,서당,
6급II,80,2018-02-24,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,내가 어릴 때 살던 집이 形體조 차 찾을 없었습니다.,形體,,형체,형체,
6급II,80,2018-02-24,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,동사무소에서는 洞民을 위해 무 료 독서실을 운영합니다.,洞民,,동민,동민,
6급II,80,2018-02-24,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,비행기는 대량 수송에 有利한 운송 수단입니다.,有利,,유리,유리,
6급II,80,2018-02-24,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,건강을 잃지 않도록 항상 注意 합시다.,注意,,주의,주의,
6급II,80,2018-02-24,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,두 사람의 혼인이 成立되었음을 선언합니다.,成立,,성립,성립,
6급II,80,2018-02-24,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,삼촌은 아프리카에서 의료 봉사 活動을 합니다.,活動,,활동,활동,
6급II,80,2018-02-24,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,할아버지는 팔순이 넘어도 藥草 를 캐러 다닙니다.,藥草,,약초,약초,
6급II,80,2018-02-24,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,바람에 風車가 천천히 돌기 시 작합니다.,風車,,풍차,풍차,
6급II,80,2018-02-24,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,우리 가족은 自然을 벗 삼아 하 루를 즐겼습니다.,自然,,자연,자연,
6급II,80,2018-02-24,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,여러분의 격려와 응원에 勇氣가 납니다.,勇氣,,용기,용기,
6급II,80,2018-02-24,14,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,시립도서관은 休日에도 문을 엽 니다.,休日,,휴일,휴일,
6급II,80,2018-02-24,15,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,어머니는 食飮을 전폐하고 누 워 계십니다.,食飮,,식음,식음,
6급II,80,2018-02-24,16,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,철수는 자신이 天才라고 믿고 있습니다.,天才,,천재,천재,
6급II,80,2018-02-24,17,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그녀는 대학 진학을 포기하고 직업 戰線으로 나갔습니다.,戰線,,전선,전선,
6급II,80,2018-02-24,18,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,네 홈페이지 住所가 뭐니?,住所,,주소,주소,
6급II,80,2018-02-24,19,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,감독 교사가 答紙 한 장을 더 주었습니다.,答紙,,답지,답지,
6급II,80,2018-02-24,20,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그만 들락거리고 集中해서 공 부해라.,集中,,집중,집중,
6급II,80,2018-02-24,21,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,연희는 주소록을 보고 同窓들 에게 연락을 했습니다.,同窓,,동창,동창,
6급II,80,2018-02-24,22,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,"오늘은 대학 합격자 發表가 있 는 날입니다. 6級II *** 6級과6級Ⅱ는서로다른급수입니다. 반드시지원급수를다시확인하세요. *** 80 문항 / 50분 시험 / 시험일자 : 2018. 02. 24. * 성명과 수험번호를 쓰고 문제지와 답안지는 함께 제출하세요. 성명( ), 수험번호□□□-□□-□□□□",發表,,발표,발표,
6급II,80,2018-02-24,23,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,형은 방학 동안 공사 現場에서 일을 하였습니다.,現場,,현장,현장,
6급II,80,2018-02-24,24,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,일기 쓰기는 자기 反省의 기회 를 줍니다.,反省,,반성,반성,
6급II,80,2018-02-24,25,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그는 몇 시쯤 되었는지 궁금해 서 時計를 봅니다.,時計,,시계,시계,
6급II,80,2018-02-24,26,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그녀는 세계가 알아주는 사진 作家입니다.,作家,,작가,작가,
6급II,80,2018-02-24,27,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,우리는 하나밖에 없는 地球를 아껴야 합니다.,地球,,지구,지구,
6급II,80,2018-02-24,28,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그녀는 젊어서 男便을 잃었습니 다.,男便,,남편,남편,
6급II,80,2018-02-24,29,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그는 농구 선수들 중에는 短身 입니다.,短身,,단신,단신,
6급II,80,2018-02-24,30,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,그는 입사 일 년 만에 代理로 승진하였습니다.,代理,,대리,대리,
6급II,80,2018-02-24,31,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,지혜는 밤새 한자시험 工夫를 열심히 했습니다.,工夫,,공부,공부,
6급II,80,2018-02-24,32,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,오늘 행사는 세 部分으로 나누 어 진행합니다.,部分,,부분,부분,
6급II,80,2018-02-24,33,hunum,다음 漢字의 訓과 音을 쓰세요.,雪,雪,,눈 설,눈 설,
6급II,80,2018-02-24,34,hunum,다음 漢字의 訓과 音을 쓰세요.,光,光,,빛 광,빛 광,
6급II,80,2018-02-24,35,hunum,다음 漢字의 訓과 音을 쓰세요.,寸,寸,,마디 촌,마디 촌,
6급II,80,2018-02-24,36,hunum,다음 漢字의 訓과 音을 쓰세요.,面,面,,낯 면,낯 면,
6급II,80,2018-02-24,37,hunum,다음 漢字의 訓과 音을 쓰세요.,孝,孝,,효도 효,효도 효,
6급II,80,2018-02-24,38,hunum,다음 漢字의 訓과 音을 쓰세요.,等,等,,무리 등,무리 등,
6급II,80,2018-02-24,39,hunum,다음 漢字의 訓과 音을 쓰세요.,角,角,,뿔 각,뿔 각,
6급II,80,2018-02-24,40,hunum,다음 漢字의 訓과 音을 쓰세요.,昨,昨,,어제 작,어제 작,
6급II,80,2018-02-24,41,hunum,다음 漢字의 訓과 音을 쓰세요.,果,果,,실과 과,실과 과,
6급II,80,2018-02-24,42,hunum,다음 漢字의 訓과 音을 쓰세요.,育,育,,기를 육,기를 육,
6급II,80,2018-02-24,43,hunum,다음 漢字의 訓과 音을 쓰세요.,聞,聞,,들을 문,들을 문,
6급II,80,2018-02-24,44,hunum,다음 漢字의 訓과 音을 쓰세요.,間,間,,사이 간,사이 간,
6급II,80,2018-02-24,45,hunum,다음 漢字의 訓과 音을 쓰세요.,急,急,,급할 급,급할 급,
6급II,80,2018-02-24,46,hunum,다음 漢字의 訓과 音을 쓰세요.,始,始,,처음 시,처음 시,
6급II,80,2018-02-24,47,hunum,다음 漢字의 訓과 音을 쓰세요.,放,放,,놓을 방,놓을 방,
6급II,80,2018-02-24,48,hunum,다음 漢字의 訓과 音을 쓰세요.,命,命,,목숨 명,목숨 명,
6급II,80,2018-02-24,49,hunum,다음 漢字의 訓과 音을 쓰세요.,圖,圖,,그림 도,그림 도,
6급II,80,2018-02-24,50,hunum,다음 漢字의 訓과 音을 쓰세요.,各,各,,각각 각,각각 각,
6급II,80,2018-02-24,51,hunum,다음 漢字의 訓과 音을 쓰세요.,神,神,,귀신 신,귀신 신,
6급II,80,2018-02-24,52,hunum,다음 漢字의 訓과 音을 쓰세요.,左,左,,왼 좌,왼 좌,
6급II,80,2018-02-24,53,hunum,다음 漢字의 訓과 音을 쓰세요.,右,右,,오른 우,오른 우,
6급II,80,2018-02-24,54,hunum,다음 漢字의 訓과 音을 쓰세요.,邑,邑,,고을 읍,고을 읍,
6급II,80,2018-02-24,55,hunum,다음 漢字의 訓과 音을 쓰세요.,色,色,,빛 색,빛 색,
6급II,80,2018-02-24,56,hunum,다음 漢字의 訓과 音을 쓰세요.,每,每,,매양 매,매양 매,
6급II,80,2018-02-24,57,hunum,다음 漢字의 訓과 音을 쓰세요.,海,海,,바다 해,바다 해,
6급II,80,2018-02-24,58,hunum,다음 漢字의 訓과 音을 쓰세요.,母,母,,어미 모,어미 모,
6급II,80,2018-02-24,59,hunum,다음 漢字의 訓과 音을 쓰세요.,童,童,,아이 동,아이 동,
6급II,80,2018-02-24,60,hunum,다음 漢字의 訓과 音을 쓰세요.,信,信,,믿을 신,믿을 신,
6급II,80,2018-02-24,61,hunum,다음 漢字의 訓과 音을 쓰세요.,今,今,,이제 금,이제 금,
6급II,80,2018-02-24,62,banui_select,다음 중 뜻이 서로 반대(또는 상대)되는 漢字끼리 연결되지 않은 것을 찾아 그 번호를 쓰세요.,,,"[""① 內 ↔ 外"", ""② 平 ↔ 安"", ""③ 春 ↔ 秋"", ""④ 手 ↔ 足""]",②,平 ↔ 安,
6급II,80,2018-02-24,63,banui_select,다음 중 뜻이 서로 반대(또는 상대)되는 漢字끼리 연결되지 않은 것을 찾아 그 번호를 쓰세요.,,,"[""① 南 ↔ 北"", ""② 上 ↔ 下"", ""③ 出 ↔ 入"", ""④ 老 ↔ 小""]",④,老 ↔ 小,
6급II,80,2018-02-24,64,select_hanja,다음 문장에 어울리는 漢字語가 되도록 ( ) 안에 알맞은 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,아이들과 校( )에서 신나게 뛰 어 놀았습니다.,校(),"[""① 運"", ""② 冬"", ""③ 正"", ""④ 庭""]",④,庭,
6급II,80,2018-02-24,65,select_hanja,다음 문장에 어울리는 漢字語가 되도록 ( ) 안에 알맞은 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,형은 ( )動 가운데서 야구를 가장 좋아한다.,()動,"[""① 運"", ""② 冬"", ""③ 正"", ""④ 庭""]",①,運,
6급II,80,2018-02-24,66,mean_select,다음 뜻에 맞는 漢字語를 <보기>에서 찾아 그 번호를 쓰세요.,불을 끔.,,"[""① 白姓"", ""② 消和"", ""③ 百姓"", ""④ 消火""]",④,消火,
6급II,80,2018-02-24,67,mean_select,다음 뜻에 맞는 漢字語를 <보기>에서 찾아 그 번호를 쓰세요.,나라의 근본을 이루는 일반 국 민을 예스럽게 이르는 말.,,"[""① 白姓"", ""② 消和"", ""③ 百姓"", ""④ 消火""]",③,百姓,
6급II,80,2018-02-24,68,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,저 학원에는 태권도를 배우려 는 학생들이 많습니다.,학생,,學生,學生,
6급II,80,2018-02-24,69,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,수업 시간 종 치기 전에 어서 교실로 들어가자.,교실,,敎室,敎室,
6급II,80,2018-02-24,70,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,이순신 장군은 수군을 이끌고 연전연승했습니다.,수군,,水軍,水軍,
6급II,80,2018-02-24,71,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,그 식당은 음식을 시키면 선금 을 받습니다.,선금,,先金,先金,
6급II,80,2018-02-24,72,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,이미 서산에는 해가 지고 있습 니다,서산,,西山,西山,
6급II,80,2018-02-24,73,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,그 청년은 쓰던 만년필을 분실 했습니다.,청년,,靑年,靑年,
6급II,80,2018-02-24,74,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,그녀는 장녀여서 집안에 대한 책임감이 강합니다.,장녀,,長女,長女,
6급II,80,2018-02-24,75,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,우리나라에서는 삼월 초에 새 학년이 시작됩니다.,삼월,,三月,三月,
6급II,80,2018-02-24,76,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,세종 대왕의 업적은 길이길이 빛날 것입니다.,대왕,,大王,大王,
6급II,80,2018-02-24,77,hanjaeo_write,다음 밑줄 친 漢字語를 漢字로 쓰세요.,저는 다섯 형제 중의 장남입니 다.,형제,,兄弟,兄弟,
6급II,80,2018-02-24,78,stroke,다음 漢字의 짙게 표시한 획은 몇 번째 쓰는 획인지 <보기>에서 찾아 그 번호를 쓰세요.,,,"[""① 첫 번째"", ""② 두 번째"", ""③ 세 번째"", ""④ 네 번째"", ""⑤ 다섯 번째"", ""⑥ 여섯 번째"", ""⑦ 일곱 번째"", ""⑧ 여덟 번째"", ""⑨ 아홉 번째"", ""⑩ 열 번째""]",⑧,여덟 번째,exam-strokes/stroke_6ii_80_78.png
6급II,80,2018-02-24,79,stroke,다음 漢字의 짙게 표시한 획은 몇 번째 쓰는 획인지 <보기>에서 찾아 그 번호를 쓰세요.,,,"[""① 첫 번째"", ""② 두 번째"", ""③ 세 번째"", ""④ 네 번째"", ""⑤ 다섯 번째"", ""⑥ 여섯 번째"", ""⑦ 일곱 번째"", ""⑧ 여덟 번째"", ""⑨ 아홉 번째"", ""⑩ 열 번째""]",⑧,여덟 번째,exam-strokes/stroke_6ii_80_79.png
6급II,80,2018-02-24,80,stroke,다음 漢字의 짙게 표시한 획은 몇 번째 쓰는 획인지 <보기>에서 찾아 그 번호를 쓰세요.,,,"[""① 첫 번째"", ""② 두 번째"", ""③ 세 번째"", ""④ 네 번째"", ""⑤ 다섯 번째"", ""⑥ 여섯 번째"", ""⑦ 일곱 번째"", ""⑧ 여덟 번째"", ""⑨ 아홉 번째"", ""⑩ 열 번째""]",⑨,아홉 번째,exam-strokes/stroke_6ii_80_80.png
6급II,81,2018-06-02,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,내일이면 放學이 끝납니다.,放學,,방학,방학,
6급II,81,2018-06-02,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,인간도 自然의 일부입니다.,自然,,자연,자연,
6급II,81,2018-06-02,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,출발할 時間이 다 되었습니다.,時間,,시간,시간,
6급II,81,2018-06-02,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,출퇴근 시간에는 지하철 타는 게 便利합니다.,便利,,편리,편리,
6급II,81,2018-06-02,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,제가 代身 가기로 했습니다.,代身,,대신,대신,
6급II,81,2018-06-02,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,音樂을 들으며 쉽니다.,音樂,,음악,음악,
6급II,81,2018-06-02,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,내일 電話하겠습니다.,電話,,전화,전화,
6급II,81,2018-06-02,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,두 나라는 休戰에 합의하고 군 대를 철수시켰습니다.,休戰,,휴전,휴전,
6급II,81,2018-06-02,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,두리번거리며 左右를 살핍니다.,左右,,좌우,좌우,
6급II,81,2018-06-02,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,新聞에 실린 기사를 읽습니다.,新聞,,신문,신문,
6급II,81,2018-06-02,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,우리는 영화관 入口에서 만났습 니다.,入口,,입구,입구,
6급II,81,2018-06-02,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,저에게는 가족이 가장 所重합니 다.,所重,,소중,소중,
6급II,81,2018-06-02,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰세요.,飮食을 남기지 않고 먹습니다.,飮食,,음식,음식,
