level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display,image_path
7급,113,2026-05-23,1,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,한옥의 구조에서 옛 祖上들의 지혜를 엿볼 수 있습니다.,祖上,,조상,조상,
7급,113,2026-05-23,2,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,이곳은 山林을 보호하기 위해서 등산객의 출입을 제한합니다.,山林,,산림,산림,
7급,113,2026-05-23,3,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,아이들이 숲속에서 植物들을 관찰합니다.,植物,,식물,식물,
7급,113,2026-05-23,4,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,제가 가장 좋아하는 歌手의 공연이 곧 시작됩니다.,歌手,,가수,가수,
7급,113,2026-05-23,5,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,그는 每事에 최선을 다하는 선수입니다.,每事,,매사,매사,
7급,113,2026-05-23,6,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,아버지께서는 항상 正直한 사람이 되라고 강조하셨습니다.,正直,,정직,정직,
7급,113,2026-05-23,7,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,버스에서 몸이 不便하신 분에게 자리를 양보했습니다.,不便,,불편,불편,
7급,113,2026-05-23,8,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,명절에는 온 食口가 한자리에 모여서 즐거운 시간을 보냅니다.,食口,,식구,식구,
7급,113,2026-05-23,9,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,어머니에게 電子사전을 선물로 받았습니다.,電子,,전자,전자,
7급,113,2026-05-23,10,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,동생은 올해 초등학교에 入學을 했습니다.,入學,,입학,입학,
7급,113,2026-05-23,11,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,草家지붕 아래에 제비가 둥지를 지었습니다.,草家,,초가,초가,
7급,113,2026-05-23,12,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,마을 회의가 里長님의 집에서 열렸습니다.,里長,,이장,이장,
7급,113,2026-05-23,13,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,한 쌍의 男女가 공원을 걷고 있습니다.,男女,,남녀,남녀,
7급,113,2026-05-23,14,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,이 지역은 土地가 비옥하여 쌀이 많이 생산됩니다.,土地,,토지,토지,
7급,113,2026-05-23,15,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,그녀는 五色 비단으로 치마를 수놓았습니다.,五色,,오색,오색,
7급,113,2026-05-23,16,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,저녁이 되자 空氣가 제법 쌀쌀해졌습니다.,空氣,,공기,공기,
7급,113,2026-05-23,17,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,우리나라는 三面이 바다로 둘러싸여 있습니다.,三面,,삼면,삼면,
7급,113,2026-05-23,18,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,재연이는 도서관에 가서 工夫를 했습니다.,工夫,,공부,공부,
7급,113,2026-05-23,19,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,來日은 학교에서 친구들과 소풍을 갑니다.,來日,,내일,내일,
7급,113,2026-05-23,20,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,두 사람이 거의 同時에 결승선에 들어왔습니다.,同時,,동시,동시,
7급,113,2026-05-23,21,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,다 쓴 休紙를 함부로 바닥에 버리면 안 됩니다.,休紙,,휴지,휴지,
7급,113,2026-05-23,22,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,저기 양복을 입은 아저씨가 이 정원의 主人입니다.,主人,,주인,주인,
7급,113,2026-05-23,23,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,손을 씻고 나면 水道를 꼭 잠가야 합니다.,水道,,수도,수도,
7급,113,2026-05-23,24,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,형은 아침마다 마을버스를 타고 登校를 합니다.,登校,,등교,등교,
7급,113,2026-05-23,25,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,경주는 신라의 유적지로 有名합니다.,有名,,유명,유명,
7급,113,2026-05-23,26,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,이 이불은 木花솜으로 만들어서 아주 따뜻합니다.,木花,,목화,목화,
7급,113,2026-05-23,27,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,어릴 적 친구를 數十 년 만에 만났습니다.,數十,,수십,수십,
7급,113,2026-05-23,28,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,민지는 매일 규칙적인 生活을 합니다.,生活,,생활,생활,
7급,113,2026-05-23,29,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,저는 부모님에게 가장 所重한 존재입니다.,所重,,소중,소중,
7급,113,2026-05-23,30,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,궁지에 몰린 적은 곧 白旗를 들어 올렸습니다.,白旗,,백기,백기,
7급,113,2026-05-23,31,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,우리나라 南海 바다에는 해산물이 풍부합니다.,南海,,남해,남해,
7급,113,2026-05-23,32,dokum,다음 밑줄 친 漢字語의 音을 쓰세요.,외국인 친구와 영어로 問答을 주고받았습니다.,問答,,문답,문답,
7급,113,2026-05-23,33,select_hanja,다음 밑줄 친 漢字語를 <보기>에서 찾아 그 번호를 쓰세요.,요새 농촌에서는 김매기가 한창입니다.,농촌,"[""① 住民"", ""② 出場"", ""③ 農村"", ""④ 自然""]",③,農村,
7급,113,2026-05-23,34,select_hanja,다음 밑줄 친 漢字語를 <보기>에서 찾아 그 번호를 쓰세요.,아파트 주민들이 모여 바자회를 열었습니다.,주민,"[""① 住民"", ""② 出場"", ""③ 農村"", ""④ 自然""]",①,住民,
7급,113,2026-05-23,35,hunum,다음 漢字의 訓과 音을 쓰세요.,孝,孝,,효도 효,효도 효,
7급,113,2026-05-23,36,hunum,다음 漢字의 訓과 音을 쓰세요.,記,記,,기록할 기,기록할 기,
7급,113,2026-05-23,37,hunum,다음 漢字의 訓과 音을 쓰세요.,內,內,,안 내,안 내,
7급,113,2026-05-23,38,hunum,다음 漢字의 訓과 音을 쓰세요.,夏,夏,,여름 하,여름 하,
7급,113,2026-05-23,39,hunum,다음 漢字의 訓과 音을 쓰세요.,算,算,,셈 산,셈 산,
7급,113,2026-05-23,40,hunum,다음 漢字의 訓과 音을 쓰세요.,右,右,,오를/오른(쪽) 우,오를/오른(쪽) 우,
7급,113,2026-05-23,41,hunum,다음 漢字의 訓과 音을 쓰세요.,立,立,,설 립,설 립,
7급,113,2026-05-23,42,hunum,다음 漢字의 訓과 音을 쓰세요.,力,力,,힘 력,힘 력,
7급,113,2026-05-23,43,hunum,다음 漢字의 訓과 音을 쓰세요.,左,左,,왼 좌,왼 좌,
7급,113,2026-05-23,44,hunum,다음 漢字의 訓과 音을 쓰세요.,車,車,,수레 거|수레 차,수레 거|수레 차,
7급,113,2026-05-23,45,hunum,다음 漢字의 訓과 音을 쓰세요.,動,動,,움직일 동,움직일 동,
7급,113,2026-05-23,46,hunum,다음 漢字의 訓과 音을 쓰세요.,間,間,,사이 간,사이 간,
7급,113,2026-05-23,47,hunum,다음 漢字의 訓과 音을 쓰세요.,夕,夕,,저녁 석,저녁 석,
7급,113,2026-05-23,48,hunum,다음 漢字의 訓과 音을 쓰세요.,江,江,,강 강,강 강,
7급,113,2026-05-23,49,hunum,다음 漢字의 訓과 音을 쓰세요.,話,話,,말씀 화,말씀 화,
7급,113,2026-05-23,50,hunum,다음 漢字의 訓과 音을 쓰세요.,川,川,,내 천,내 천,
7급,113,2026-05-23,51,hunum,다음 漢字의 訓과 音을 쓰세요.,邑,邑,,고을 읍,고을 읍,
7급,113,2026-05-23,52,hunum,다음 漢字의 訓과 音을 쓰세요.,安,安,,편안 안,편안 안,
7급,113,2026-05-23,53,hunum,다음 漢字의 訓과 音을 쓰세요.,前,前,,앞 전,앞 전,
7급,113,2026-05-23,54,hunum,다음 漢字의 訓과 音을 쓰세요.,足,足,,발 족,발 족,
7급,113,2026-05-23,55,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,겨울 동,겨울 동,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",⑦,冬,
7급,113,2026-05-23,56,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,뒤 후,뒤 후,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",②,後,
7급,113,2026-05-23,57,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,아래 하,아래 하,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",①,下,
7급,113,2026-05-23,58,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,인간 세,인간 세,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",⑥,世,
7급,113,2026-05-23,59,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,낮 오,낮 오,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",⑨,午,
7급,113,2026-05-23,60,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,평평할 평,평평할 평,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",③,平,
7급,113,2026-05-23,61,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,저자 시,저자 시,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",⑩,市,
7급,113,2026-05-23,62,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,서녘 서,서녘 서,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",④,西,
7급,113,2026-05-23,63,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,아우 제,아우 제,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",⑤,弟,
7급,113,2026-05-23,64,select_hanja,다음 訓과 音에 맞는 漢字를 <보기>에서 찾아 그 번호를 쓰세요.,바깥 외,바깥 외,"[""① 下"", ""② 後"", ""③ 平"", ""④ 西"", ""⑤ 弟"", ""⑥ 世"", ""⑦ 冬"", ""⑧ 外"", ""⑨ 午"", ""⑩ 市""]",⑧,外,
7급,113,2026-05-23,65,banui_select,다음 漢字의 상대(또는 반대)되는 漢字를 <보기>에서 골라 그 번호를 쓰세요.,( ) ↔ 少,少,"[""① 洞"", ""② 秋"", ""③ 老"", ""④ 育""]",③,老,
7급,113,2026-05-23,66,banui_select,다음 漢字의 상대(또는 반대)되는 漢字를 <보기>에서 골라 그 번호를 쓰세요.,春 ↔ ( ),春,"[""① 洞"", ""② 秋"", ""③ 老"", ""④ 育""]",②,秋,
