level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display
특급,113,2026-05-23,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,한방에서는 蠡實을 마리자라고도 한다.,蠡實,,여실,여실
특급,113,2026-05-23,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,외국에서 형이 보낸 편지의 內緊를 어머니께 읽어 드렸다.,內緊,,내긴,내긴
특급,113,2026-05-23,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,적들이 아군 포로를 땅굴 속에 鬪來하여 숨겼다.,鬪來,,투래,투래
특급,113,2026-05-23,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,국가의 원수가 驢鹵하면 나라의 기강이 흔들린다.,驢鹵,,여로,여로
특급,113,2026-05-23,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그는 일평생 翱翔하며 전국을 유랑했다.,翱翔,,오상,오상
특급,113,2026-05-23,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,숲속에 雛渠 한 쌍이 보인다.,雛渠,,추거,추거
특급,113,2026-05-23,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,불필요한 규제를 蠲弊해야 한다.,蠲弊,,견폐,견폐
특급,113,2026-05-23,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,인부들이 뒷산을 완전히 赭斫해 버렸다.,赭斫,,자작,자작
특급,113,2026-05-23,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,취의 섬유로 짠 베의 絺綌이 조금 거칠다.,絺綌,,치계,치계
특급,113,2026-05-23,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,서양의 튤립을 한자어로 図草라 이른다.,図草,,도초,도초
특급,113,2026-05-23,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,왕 옆에 환관들이 睨待하고 있다.,睨待,,예대,예대
특급,113,2026-05-23,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,원숭이들이 던져준 먹이를 攫噬하고 있다.,攫噬,,획서,획서
특급,113,2026-05-23,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,여성들이 즐겨 사용하는 形管은 붓끝이 부드럽다.,形管,,형관,형관
특급,113,2026-05-23,14,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,저 사람은 성품이 매우 峻厲하여 사귀기가 힘들다.,峻厲,,준려,준려
특급,113,2026-05-23,15,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,밭을 갈아보니 땅속에 많은 蠑蟬가 득실거렸다.,蠑蟬,,영선,영선
특급,113,2026-05-23,16,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,경찰관이 사건의 진상을 覈得하고자 분주히 움직이고 있다.,覈得,,핵득,핵득
특급,113,2026-05-23,17,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,조선의 유생들은 서로 廩酬를 하며 풍류를 즐겼다.,廩酬,,임수,임수
특급,113,2026-05-23,18,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,새벽녘 산길 도로에 黯靄가 깔려 있다.,黯靄,,암애,암애
특급,113,2026-05-23,19,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,종의 龍鈕에 특이한 문양이 있다.,龍鈕,,용뉴,용뉴
특급,113,2026-05-23,20,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,부잣집 儲廩에 쌀이 넘쳐난다.,儲廩,,저름,저름
특급,113,2026-05-23,21,dokum,다음 漢字語의 讀音을 쓰시오.,筐筭,筐筭,,광산,광산
특급,113,2026-05-23,22,dokum,다음 漢字語의 讀音을 쓰시오.,叢腔,叢腔,,총강,총강
특급,113,2026-05-23,23,dokum,다음 漢字語의 讀音을 쓰시오.,糜粥,糜粥,,미죽,미죽
특급,113,2026-05-23,24,dokum,다음 漢字語의 讀音을 쓰시오.,篋笠,篋笠,,협립,협립
특급,113,2026-05-23,25,dokum,다음 漢字語의 讀音을 쓰시오.,鬚腫,鬚腫,,수종,수종
특급,113,2026-05-23,26,dokum,다음 漢字語의 讀音을 쓰시오.,惱惱,惱惱,,뇌뇌,뇌뇌
특급,113,2026-05-23,27,dokum,다음 漢字語의 讀音을 쓰시오.,訾謗,訾謗,,자방,자방
특급,113,2026-05-23,28,dokum,다음 漢字語의 讀音을 쓰시오.,猫鰲,猫鰲,,묘오,묘오
특급,113,2026-05-23,29,dokum,다음 漢字語의 讀音을 쓰시오.,隴畝,隴畝,,롱무,롱무
특급,113,2026-05-23,30,dokum,다음 漢字語의 讀音을 쓰시오.,棘菀,棘菀,,극완,극완
특급,113,2026-05-23,31,dokum,다음 漢字語의 讀音을 쓰시오.,蹙踏,蹙踏,,축답,축답
특급,113,2026-05-23,32,dokum,다음 漢字語의 讀音을 쓰시오.,頤卦,頤卦,,이괘,이괘
특급,113,2026-05-23,33,dokum,다음 漢字語의 讀音을 쓰시오.,杖履,杖履,,장리,장리
특급,113,2026-05-23,34,dokum,다음 漢字語의 讀音을 쓰시오.,蹲踞,蹲踞,,준거,준거
특급,113,2026-05-23,35,dokum,다음 漢字語의 讀音을 쓰시오.,涕洩,涕洩,,체설,체설
특급,113,2026-05-23,36,dokum,다음 漢字語의 讀音을 쓰시오.,蘋繁,蘋繁,,빈번,빈번
특급,113,2026-05-23,37,dokum,다음 漢字語의 讀音을 쓰시오.,褊狹,褊狹,,편협,편협
특급,113,2026-05-23,38,dokum,다음 漢字語의 讀音을 쓰시오.,罵詈,罵詈,,매리,매리
특급,113,2026-05-23,39,dokum,다음 漢字語의 讀音을 쓰시오.,蓁紕,蓁紕,,진비,진비
특급,113,2026-05-23,40,dokum,다음 漢字語의 讀音을 쓰시오.,闊黎,闊黎,,활리,활리
특급,113,2026-05-23,41,dokum,다음 漢字語의 讀音을 쓰시오.,肱臂,肱臂,,굉비,굉비
특급,113,2026-05-23,42,dokum,다음 漢字語의 讀音을 쓰시오.,芥苜,芥苜,,개목,개목
특급,113,2026-05-23,43,dokum,다음 漢字語의 讀音을 쓰시오.,牯牢,牯牢,,고뢰,고뢰
특급,113,2026-05-23,44,dokum,다음 漢字語의 讀音을 쓰시오.,樵叟,樵叟,,초수,초수
특급,113,2026-05-23,45,dokum,다음 漢字語의 讀音을 쓰시오.,冢嗣,冢嗣,,총사,총사
특급,113,2026-05-23,46,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,맹아들의 교육을 위한 전문적인 학교가 많이 세워져야 한다.,맹아,,盲啞,盲啞
특급,113,2026-05-23,47,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그녀와 십 년 만에 해후를 했다.,해후,,邂逅,邂逅
특급,113,2026-05-23,48,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,위에 생긴 궤양이 점점 심해졌다.,궤양,,潰瘍,潰瘍
특급,113,2026-05-23,49,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그 사람은 성격이 괴팍하다.,괴팍,,乖愎,乖愎
특급,113,2026-05-23,50,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,군중들은 그에게 야유를 보냈다.,야유,,揶揄,揶揄
특급,113,2026-05-23,51,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,언니는 지금 임신 7주 차이다.,임신,,姙娠,姙娠
특급,113,2026-05-23,52,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,묘산에서 제례가 엄격히 거행된다.,묘산,,墓山,墓山
특급,113,2026-05-23,53,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,의원은 비리 의혹을 불식시켰다.,불식,,拂拭,拂拭
특급,113,2026-05-23,54,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,많은 번민 끝에 결정을 내렸다.,번민,,煩悶,煩悶
특급,113,2026-05-23,55,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,융적이란 중국에서 서쪽과 북쪽 오랑캐들을 이르는 말이다.,융적,,戎狄,戎狄
특급,113,2026-05-23,56,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,배탈이 나서 설사를 했다.,설사,,泄瀉,泄瀉
특급,113,2026-05-23,57,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,마라톤 선수는 경기가 끝나고 한동안 식전이 멈추지 않았다.,식전,,息喘,息喘
특급,113,2026-05-23,58,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,할머니께서 연시를 드시고 계신다.,연시,,軟柿,軟柿
특급,113,2026-05-23,59,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그는 도시 생활에 대한 동경을 품고 서울로 올라왔다.,동경,,憧憬,憧憬
특급,113,2026-05-23,60,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,결혼식을 마친 신혼부부는 양측 어른께 폐백을 올렸다.,폐백,,幣帛,幣帛
특급,113,2026-05-23,61,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그는 나에게 소원을 성취하지 못할 것이라며 저주했다.,저주,,詛呪,詛呪
특급,113,2026-05-23,62,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,멧돼지를 잡기 위해 함정을 팠다.,함정,,陷阱,陷阱
특급,113,2026-05-23,63,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그는 연설 도중 괴한에게 저격을 당했다.,저격,,狙擊,狙擊
특급,113,2026-05-23,64,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,선생님은 나를 최고 실력자로 간주하셨다.,간주,,看做,看做
특급,113,2026-05-23,65,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그 군함은 어뢰를 탑재하고 있다.,탑재,,搭載,搭載
특급,113,2026-05-23,66,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,타지에서 온 여인에 대한 여러 소문이 온 동네에 낭자하였다.,낭자,,狼藉,狼藉
특급,113,2026-05-23,67,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,한 사람에 의한 법질서의 유린으로 한동안 혼란이 지속되었다.,유린,,蹂躪,蹂躪
특급,113,2026-05-23,68,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그들의 잔인한 살상 행위는 전 세계를 경악 속에 몰아넣었다.,경악,,驚愕,驚愕
특급,113,2026-05-23,69,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,전시에는 몸을 엄폐시켜 자신을 보호하는 것이 중요하다.,엄폐,,掩蔽,掩蔽
특급,113,2026-05-23,70,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,그녀는 가면무도회에 참석하였다.,가면,,假面,假面
특급,113,2026-05-23,71,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,원시사회에서 삶의 방식은 주로 수렵 활동이었다.,수렵,,狩獵,狩獵
특급,113,2026-05-23,72,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,갑자기 사람들이 몰려들자 그는 황망한 기색을 감추지 못했다.,황망,,慌忙,慌忙
특급,113,2026-05-23,73,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,한 아이가 잉태되었다.,잉태,,孕胎,孕胎
특급,113,2026-05-23,74,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,독자의 이해를 돕기 위해 역주를 달았다.,역주,,譯註,譯註
특급,113,2026-05-23,75,hanjaeo_write,다음 밑줄 친 漢字語를 正字의 漢字로 쓰시오.,국가대표들은 국위를 선양하기 위해 자신들의 노력을 다했다.,선양,,宣揚,宣揚
특급,113,2026-05-23,76,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(신랄) 몹시 맵고 아림.,,,辛辣,辛辣
특급,113,2026-05-23,77,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(잔재) 과거의 낡은 사고방식이나 생활양식의 찌꺼기.,,,殘滓,殘滓
특급,113,2026-05-23,78,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(대두) 어떤 세력이나 현상이 머리를 쳐들고 나타남.,,,擡頭,擡頭
특급,113,2026-05-23,79,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(알선) 남의 일이 잘되도록 주선하는 일.,,,斡旋,斡旋
특급,113,2026-05-23,80,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(거괴) 도둑 무리의 두목.,,,巨魁,巨魁
특급,113,2026-05-23,81,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(공박) 남의 잘못을 몹시 따지고 공격함.,,,攻駁,攻駁
특급,113,2026-05-23,82,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(수회) 뇌물을 받음.,,,收賄,收賄
특급,113,2026-05-23,83,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(시저) 숟가락과 젓가락.,,,匙箸,匙箸
특급,113,2026-05-23,84,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(작통) 불로 지지는 듯한 아픔.,,,灼痛,灼痛
특급,113,2026-05-23,85,mean_to_hanjaeo,다음 뜻을 가진 漢字語를 漢字(正字)로 쓰시오.,(개벽) 천지가 처음으로 생김.,,,開闢,開闢
특급,113,2026-05-23,86,hunum,다음 漢字의 訓·音을 쓰시오.,昃,昃,,기울 측,기울 측
특급,113,2026-05-23,87,hunum,다음 漢字의 訓·音을 쓰시오.,盻,盻,,흘겨볼 혜,흘겨볼 혜
특급,113,2026-05-23,88,hunum,다음 漢字의 訓·音을 쓰시오.,訐,訐,,들추어낼 게,들추어낼 게
특급,113,2026-05-23,89,hunum,다음 漢字의 訓·音을 쓰시오.,矇,矇,,어두울 몽,어두울 몽
특급,113,2026-05-23,90,hunum,다음 漢字의 訓·音을 쓰시오.,圮,圮,,무너질 비,무너질 비
특급,113,2026-05-23,91,hunum,다음 漢字의 訓·音을 쓰시오.,稊,稊,,강아지풀 제,강아지풀 제
특급,113,2026-05-23,92,hunum,다음 漢字의 訓·音을 쓰시오.,龥,龥,,부를 욕,부를 욕
특급,113,2026-05-23,93,hunum,다음 漢字의 訓·音을 쓰시오.,闋,闋,,마칠 결,마칠 결
특급,113,2026-05-23,94,hunum,다음 漢字의 訓·音을 쓰시오.,髦,髦,,다래 모,다래 모
특급,113,2026-05-23,95,hunum,다음 漢字의 訓·音을 쓰시오.,佞,佞,,아첨할 녕,아첨할 녕
특급,113,2026-05-23,96,hunum,다음 漢字의 訓·音을 쓰시오.,哂,哂,,비웃을 신,비웃을 신
특급,113,2026-05-23,97,hunum,다음 漢字의 訓·音을 쓰시오.,甓,甓,,벽돌 벽,벽돌 벽
특급,113,2026-05-23,98,hunum,다음 漢字의 訓·音을 쓰시오.,愬,愬,,하소연할 소,하소연할 소
특급,113,2026-05-23,99,hunum,다음 漢字의 訓·音을 쓰시오.,棖,棖,,문설주 정,문설주 정
특급,113,2026-05-23,100,hunum,다음 漢字의 訓·音을 쓰시오.,艷,艷,,고울 염,고울 염
특급,113,2026-05-23,101,hunum,다음 漢字의 訓·音을 쓰시오.,飦,飦,,죽 전,죽 전
특급,113,2026-05-23,102,hunum,다음 漢字의 訓·音을 쓰시오.,隄,隄,,둑 제,둑 제
특급,113,2026-05-23,103,hunum,다음 漢字의 訓·音을 쓰시오.,昤,昤,,햇빛 령,햇빛 령
특급,113,2026-05-23,104,hunum,다음 漢字의 訓·音을 쓰시오.,頞,頞,,콧등 알,콧등 알
특급,113,2026-05-23,105,hunum,다음 漢字의 訓·音을 쓰시오.,鋥,鋥,,칼날 세울 쟁,칼날 세울 쟁
특급,113,2026-05-23,106,hunum,다음 漢字의 訓·音을 쓰시오.,嬴,嬴,,찰 영,찰 영
특급,113,2026-05-23,107,hunum,다음 漢字의 訓·音을 쓰시오.,嗑,嗑,,말할 합,말할 합
특급,113,2026-05-23,108,invalid,다음 빈칸에 제시한 漢字를 넣어 단어로 성립하지 않는 것을 찾아 그 번호를 쓰시오.,斝,斝,"[""① □菼"", ""② □耳"", ""③ 罍□"", ""④ □彛""]",①,①
특급,113,2026-05-23,109,invalid,다음 빈칸에 제시한 漢字를 넣어 단어로 성립하지 않는 것을 찾아 그 번호를 쓰시오.,眇,眇,"[""① □福"", ""② □忽"", ""③ □末"", ""④ □玩""]",①,①
특급,113,2026-05-23,110,invalid,다음 빈칸에 제시한 漢字를 넣어 단어로 성립하지 않는 것을 찾아 그 번호를 쓰시오.,腓,腓,"[""① □腸"", ""② □謬"", ""③ □辟"", ""④ 股□""]",②,②
특급,113,2026-05-23,111,invalid,다음 빈칸에 제시한 漢字를 넣어 단어로 성립하지 않는 것을 찾아 그 번호를 쓰시오.,峨,峨,"[""① 嵯□"", ""② □嵋"", ""③ 姮□"", ""④ 巍□""]",③,③
특급,113,2026-05-23,112,invalid,다음 빈칸에 제시한 漢字를 넣어 단어로 성립하지 않는 것을 찾아 그 번호를 쓰시오.,炮,炮,"[""① □煮"", ""② 杏□"", ""③ □貶"", ""④ □臺""]",③,③
특급,113,2026-05-23,113,bushu,다음 漢字의 部首를 쓰시오.,訔,訔,,言,言
특급,113,2026-05-23,114,bushu,다음 漢字의 部首를 쓰시오.,釆,釆,,釆,釆
특급,113,2026-05-23,115,bushu,다음 漢字의 部首를 쓰시오.,舝,舝,,車,車
특급,113,2026-05-23,116,bushu,다음 漢字의 部首를 쓰시오.,鶉,鶉,,鳥,鳥
특급,113,2026-05-23,117,bushu,다음 漢字의 部首를 쓰시오.,睘,睘,,目,目
특급,113,2026-05-23,118,bushu,다음 漢字의 部首를 쓰시오.,奡,奡,,大,大
특급,113,2026-05-23,119,bushu,다음 漢字의 部首를 쓰시오.,舃,舃,,臼,臼
특급,113,2026-05-23,120,bushu,다음 漢字의 部首를 쓰시오.,觳,觳,,角,角
특급,113,2026-05-23,121,bushu,다음 漢字의 部首를 쓰시오.,甯,甯,,用,用
특급,113,2026-05-23,122,bushu,다음 漢字의 部首를 쓰시오.,虩,虩,,虍,虍
특급,113,2026-05-23,123,yakja,다음 漢字의 略字를 쓰시오.,彌,彌,,弥,弥
특급,113,2026-05-23,124,yakja,다음 漢字의 略字를 쓰시오.,膽,膽,,胆,胆
특급,113,2026-05-23,125,yakja,다음 漢字의 略字를 쓰시오.,澁,澁,,渋,渋
특급,113,2026-05-23,126,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 價値"", ""② 假齒""]",①,①
특급,113,2026-05-23,127,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 史記"", ""② 詐欺""]",①,①
특급,113,2026-05-23,128,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 年紀"", ""② 演技""]",①,①
특급,113,2026-05-23,129,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 裁判"", ""② 再版""]",①,①
특급,113,2026-05-23,130,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 電氣"", ""② 全期""]",①,①
특급,113,2026-05-23,131,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 弔喪"", ""② 彫像""]",①,①
특급,113,2026-05-23,132,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 幸運"", ""② 行雲""]",①,①
특급,113,2026-05-23,133,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 享壽"", ""② 香水""]",①,①
특급,113,2026-05-23,134,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 歡迎"", ""② 幻影""]",①,①
특급,113,2026-05-23,135,jangum,다음 漢字語 중 첫소리가 長音인 것을 가려 그 번호를 쓰시오.,,,"[""① 定員"", ""② 庭園""]",①,①
특급,113,2026-05-23,136,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,俘囚,俘囚,,捕虜,捕虜
특급,113,2026-05-23,137,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,譖訴,譖訴,,讒訴,讒訴
특급,113,2026-05-23,138,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,遘逆,遘逆,,遭遇,遭遇
특급,113,2026-05-23,139,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,重闈,重闈,,深閨,深閨
특급,113,2026-05-23,140,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,碧霄,碧霄,,靑空,靑空
특급,113,2026-05-23,141,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,滕室,滕室,,側室,側室
특급,113,2026-05-23,142,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,簸弄,簸弄,,玩弄,玩弄
특급,113,2026-05-23,143,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,臬極,臬極,,極致,極致
특급,113,2026-05-23,144,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,韶華,韶華,,年華,年華
특급,113,2026-05-23,145,yui,다음 단어와 뜻이 같거나 비슷한 漢字語를 漢字(正字)로 쓰시오.,幄帷,幄帷,,帳幕,帳幕
특급,113,2026-05-23,146,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,須臾,須臾,,長久,長久
특급,113,2026-05-23,147,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,謙巽,謙巽,,傲慢,傲慢
특급,113,2026-05-23,148,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,疎遠,疎遠,,親密,親密
특급,113,2026-05-23,149,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,強靭,強靭,,脆弱,脆弱
특급,113,2026-05-23,150,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,勤勉,勤勉,,怠慢,怠慢
특급,113,2026-05-23,151,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,唐慌,唐慌,,鎭靜,鎭靜
특급,113,2026-05-23,152,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,混沌,混沌,,分明,分明
특급,113,2026-05-23,153,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,絶讚,絶讚,,酷評,酷評
특급,113,2026-05-23,154,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,騷亂,騷亂,,平穩,平穩
특급,113,2026-05-23,155,banui,다음 단어의 반대어 또는 상대어를 漢字(正字)로 쓰시오.,扶桑,扶桑,,西洋,西洋
특급,113,2026-05-23,156,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(加勞) 시가지의 넓은 도로.,,,街路,街路
특급,113,2026-05-23,157,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(澗谷) 태도나 자세 따위가 간절하고 정성스러움.,,,懇篤,懇篤
특급,113,2026-05-23,158,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(鎧袖) 고쳐서 바로잡거나 다시 만듦.,,,改修,改修
특급,113,2026-05-23,159,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(蘆溪) 늙은 닭.,,,老鷄,老鷄
특급,113,2026-05-23,160,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(扮裝) 일이나 임무를 나누어 맡아 처리함.,,,分掌,分掌
특급,113,2026-05-23,161,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(瓔珞) 초목의 잎이 시들어 떨어짐.,,,零落,零落
특급,113,2026-05-23,162,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(澍濡) 두루 돌아다니면서 구경하며 놂.,,,周遊,周遊
특급,113,2026-05-23,163,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(至冤) 지지하여 도움.,,,支援,支援
특급,113,2026-05-23,164,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(茶劑) 때마침 주어진 기회.,,,時機,時機
특급,113,2026-05-23,165,dongeum,다음 (  ) 속 단어의 同音異義語를 주어진 뜻에 맞게 漢字(正字)로 쓰시오.,(馱餉) 자기 고향이 아닌 고장.,,,他鄕,他鄕
특급,113,2026-05-23,166,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,切磋(  )磨 : 옥이나 돌 따위를 갈고 닦아서 빛을 냄.,,,琢,琢
특급,113,2026-05-23,167,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,(  )金戛石 : 쇠를 두드리고 돌을 울림.,,,鏗,鏗
특급,113,2026-05-23,168,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,螳螂拒(  ) : 사마귀가 수레바퀴를 막음.,,,轍,轍
특급,113,2026-05-23,169,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,斂(  )端坐 : 무릎을 거두고 옷자락을 바로 하여 단정히 앉음.,,,袵,袵
특급,113,2026-05-23,170,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,泣(  )馬謖 : 큰 목적을 위하여 자기가 아끼는 사람을 버림.,,,斬,斬
특급,113,2026-05-23,171,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,(  )粱珍味 : 기름진 고기와 좋은 곡식으로 만든 맛있는 음식.,,,膏,膏
특급,113,2026-05-23,172,seong-eo,다음 (  ) 안에 알맞은 漢字를 적어 四字成語를 완성하시오.,隔鞋(  )癢 : 신을 신고 발바닥을 긁음.,,,搔,搔
