level,session,exam_date,question_no,question_type,instruction,question_text,target,options,answer,answer_display
특급II,113,2026-05-23,1,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그녀는 麥稈 공예를 배우고 있다.,麥稈,,맥간,맥간
특급II,113,2026-05-23,2,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,깊은 밤 夜柝 소리가 정적을 깼다.,夜柝,,야탁,야탁
특급II,113,2026-05-23,3,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그는 僥倖을 바라고 복권을 샀다.,僥倖,,요행,요행
특급II,113,2026-05-23,4,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그는 성격이 豁達하여 사람들과 잘 어울려 지낸다.,豁達,,활달,활달
특급II,113,2026-05-23,5,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그 아이는 갑자기 의식을 잃고 쓰러져 痙攣을 일으켰다.,痙攣,,경련,경련
특급II,113,2026-05-23,6,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,환관들은 황제를 등에 업고 偃蹇하였다.,偃蹇,,언건,언건
특급II,113,2026-05-23,7,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,책임감이 없는 사람과 동업을 하다가는 狼狽를 당하기 쉽다.,狼狽,,낭패,낭패
특급II,113,2026-05-23,8,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,홍길동전은 庶孽에 대한 차별 문제를 다루는 작품이다.,庶孽,,서얼,서얼
특급II,113,2026-05-23,9,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,봄에 농부들은 撒種 준비로 분주했다.,撒種,,살종,살종
특급II,113,2026-05-23,10,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,적으로부터 무기를 鹵獲하였다.,鹵獲,,노획,노획
특급II,113,2026-05-23,11,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,우리는 새집의 塗褙를 마쳤다.,塗褙,,도배,도배
특급II,113,2026-05-23,12,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그것은 그에 대한 懊怒이었다.,懊怒,,오노,오노
특급II,113,2026-05-23,13,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,아이는 의식이 朦朧한 상태에서도 계속 엄마를 불렀다.,朦朧,,몽롱,몽롱
특급II,113,2026-05-23,14,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,옷차림이 襤褸하다고 사람을 함부로 대해서는 안 된다.,襤褸,,남루,남루
특급II,113,2026-05-23,15,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,우리 집은 고부 사이의 軋轢이 전혀 없다.,軋轢,,알력,알력
특급II,113,2026-05-23,16,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,나이 먹은 것만도 서러운데 이런 悲視를 받다니.,悲視,,비시,비시
특급II,113,2026-05-23,17,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,장군이 급히 擺撥을 보냈다.,擺撥,,파발,파발
특급II,113,2026-05-23,18,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,그는 계약서에 도장을 찍을 것을 나에게 慫慂했다.,慫慂,,종용,종용
특급II,113,2026-05-23,19,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,옆집 순이는 어린 계집애가 여간 孱妄스럽지가 않아.,孱妄,,잔망,잔망
특급II,113,2026-05-23,20,dokum,다음 밑줄 친 漢字語의 讀音을 쓰시오.,제관들이 俎肉을 나누어 먹었다.,俎肉,,조육,조육
특급II,113,2026-05-23,21,dokum,다음 漢字語의 讀音을 쓰시오.,硼砂,硼砂,,봉사,봉사
특급II,113,2026-05-23,22,dokum,다음 漢字語의 讀音을 쓰시오.,摺帖,摺帖,,접첩,접첩
특급II,113,2026-05-23,23,dokum,다음 漢字語의 讀音을 쓰시오.,燔灼,燔灼,,번작,번작
특급II,113,2026-05-23,24,dokum,다음 漢字語의 讀音을 쓰시오.,琉璃,琉璃,,유리,유리
특급II,113,2026-05-23,25,dokum,다음 漢字語의 讀音을 쓰시오.,剔抉,剔抉,,척결,척결
특급II,113,2026-05-23,26,dokum,다음 漢字語의 讀音을 쓰시오.,櫛籠,櫛籠,,즐롱,즐롱
특급II,113,2026-05-23,27,dokum,다음 漢字語의 讀音을 쓰시오.,慘慽,慘慽,,참척,참척
특급II,113,2026-05-23,28,dokum,다음 漢字語의 讀音을 쓰시오.,嗤罵,嗤罵,,치매,치매
특급II,113,2026-05-23,29,dokum,다음 漢字語의 讀音을 쓰시오.,噦蹙,噦蹙,,월축,월축
